"","Sample","CoverageType","Coverage"
"1003","gorg","MeanCoverageMM",0.178
"1004","gorg","MeanCoverageMM",0.143
"1005","gorg","MeanCoverageMM",0.154
"1006","gorg","MeanCoverageMM",0.097
"1007","gorg","MeanCoverageMM",0.196
"1008","gorg","MeanCoverageMM",0.155
"1009","gorg","MeanCoverageMM",0.209
"1010","gorg","MeanCoverageMM",0.024
"1011","gorg","MeanCoverageMM",0.168
"1012","gorg","MeanCoverageMM",0.12
"1013","gorg","MeanCoverageMM",0.157
"1014","gorg","MeanCoverageMM",0.156
"1015","gorg","MeanCoverageMM",0.175
"1016","gorg","MeanCoverageMM",0.154
"1017","gorg","MeanCoverageMM",0.091
"1018","gorg","MeanCoverageMM",0.103
"1019","gorg","MeanCoverageMM",0.079
"1020","gorg","MeanCoverageMM",0.111
"1021","gorg","MeanCoverageMM",0.122
"1022","gorg","MeanCoverageMM",0.194
"1023","gorg","MeanCoverageMM",0.153
"1024","gorg","MeanCoverageMM",0.174
"1025","gorg","MeanCoverageMM",0.142
"1026","gorg","MeanCoverageMM",0.103
"1027","gorg","MeanCoverageMM",0.101
"1028","gorg","MeanCoverageMM",0.098
"1029","gorg","MeanCoverageMM",0.098
"1030","gorg","MeanCoverageMM",0.04
"1031","gorg","MeanCoverageMM",0.173
"1032","gorg","MeanCoverageMM",0.08
"1033","gorg","MeanCoverageMM",0.047
"1034","gorg","MeanCoverageMM",0.059
"1035","gorg","MeanCoverageMM",0.157
"1036","gorg","MeanCoverageMM",0.147
"1037","gorg","MeanCoverageMM",0.076
"1038","gorg","MeanCoverageMM",0.116
"1039","gorg","MeanCoverageMM",0.157
"1040","gorg","MeanCoverageMM",0.709
"1041","gorg","MeanCoverageMM",0.304
"1042","gorg","MeanCoverageMM",0.156
"1043","gorg","MeanCoverageMM",0.41
"1044","gorg","MeanCoverageMM",0.138
"1045","gorg","MeanCoverageMM",0.198
"1046","gorg","MeanCoverageMM",0
"1047","gorg","MeanCoverageMM",0.187
"1048","gorg","MeanCoverageMM",0.286
"1049","gorg","MeanCoverageMM",0.209
"1050","gorg","MeanCoverageMM",0.149
"1051","gorg","MeanCoverageMM",0.145
"1052","gorg","MeanCoverageMM",0.135
"1053","gorg","MeanCoverageMM",0.149
"1054","gorg","MeanCoverageMM",0.051
"1055","gorg","MeanCoverageMM",0.289
"1056","gorg","MeanCoverageMM",0.122
"1057","gorg","MeanCoverageMM",0.16
"1058","gorg","MeanCoverageMM",0.325
"1059","gorg","MeanCoverageMM",0.094
"1060","gorg","MeanCoverageMM",0.094
"1061","gorg","MeanCoverageMM",0.005
"1062","gorg","MeanCoverageMM",0.148
"1063","gorg","MeanCoverageMM",0.272
"1064","gorg","MeanCoverageMM",0.131
"1065","gorg","MeanCoverageMM",0.216
"1066","gorg","MeanCoverageMM",0.177
"1067","gorg","MeanCoverageMM",0.264
"1068","gorg","MeanCoverageMM",0.138
"1069","gorg","MeanCoverageMM",0.077
"1070","gorg","MeanCoverageMM",0.186
"1071","gorg","MeanCoverageMM",0.13
"1072","gorg","MeanCoverageMM",0.06
"1073","gorg","MeanCoverageMM",0.18
"1074","gorg","MeanCoverageMM",0.143
"1075","gorg","MeanCoverageMM",0.093
"1076","gorg","MeanCoverageMM",0.133
"1077","gorg","MeanCoverageMM",0.155
"1078","gorg","MeanCoverageMM",0.183
"1079","gorg","MeanCoverageMM",0.052
"1080","gorg","MeanCoverageMM",0.172
"1081","gorg","MeanCoverageMM",0.152
"1082","gorg","MeanCoverageMM",0.13
"1083","gorg","MeanCoverageMM",0.119
"1084","gorg","MeanCoverageMM",0.223
"1085","gorg","MeanCoverageMM",0.152
"1086","gorg","MeanCoverageMM",0.14
"1087","gorg","MeanCoverageMM",0.131
"1088","gorg","MeanCoverageMM",0.144
"1089","gorg","MeanCoverageMM",0.041
"1090","gorg","MeanCoverageMM",0.194
"1091","gorg","MeanCoverageMM",0.17
"1092","gorg","MeanCoverageMM",0.19
"1093","gorg","MeanCoverageMM",0.118
"1094","muns","MeanCoverageMM",0.102
"1095","muns","MeanCoverageMM",0.055
"1096","muns","MeanCoverageMM",0
"1097","muns","MeanCoverageMM",0.077
"1098","muns","MeanCoverageMM",0
"1099","muns","MeanCoverageMM",0
"1100","muns","MeanCoverageMM",0.208
"1101","muns","MeanCoverageMM",0.077
"1102","muns","MeanCoverageMM",0.062
"1103","muns","MeanCoverageMM",0.053
"1104","muns","MeanCoverageMM",0.078
"1105","muns","MeanCoverageMM",0.453
"1106","muns","MeanCoverageMM",0.143
"1107","muns","MeanCoverageMM",0.087
"1108","muns","MeanCoverageMM",0.086
"1109","muns","MeanCoverageMM",0.053
"1110","muns","MeanCoverageMM",0.289
"1111","muns","MeanCoverageMM",0.08
"1112","muns","MeanCoverageMM",0.037
"1113","muns","MeanCoverageMM",0.059
"1114","muns","MeanCoverageMM",0.104
"1115","muns","MeanCoverageMM",0.084
"1116","muns","MeanCoverageMM",0.081
"1117","muns","MeanCoverageMM",0
"1118","muns","MeanCoverageMM",0.039
"1119","muns","MeanCoverageMM",0.012
"1120","muns","MeanCoverageMM",0.057
"1121","muns","MeanCoverageMM",0.087
"1122","muns","MeanCoverageMM",0.02
"1123","muns","MeanCoverageMM",0.146
"1124","muns","MeanCoverageMM",0.071
"1125","muns","MeanCoverageMM",0.051
"1126","muns","MeanCoverageMM",0.046
"1127","muns","MeanCoverageMM",0.029
"1128","muns","MeanCoverageMM",0.063
"1129","muns","MeanCoverageMM",0.039
"1130","muns","MeanCoverageMM",0
"1131","muns","MeanCoverageMM",0.07
"1132","muns","MeanCoverageMM",0
"1133","muns","MeanCoverageMM",0
"1134","muns","MeanCoverageMM",0.051
"1135","muns","MeanCoverageMM",0.061
"1136","muns","MeanCoverageMM",0
"1137","muns","MeanCoverageMM",0.068
"1138","muns","MeanCoverageMM",0.096
"1139","muns","MeanCoverageMM",0.614
"1140","muns","MeanCoverageMM",0.359
"1141","muns","MeanCoverageMM",0.06
"1142","muns","MeanCoverageMM",0.343
"1143","muns","MeanCoverageMM",0.033
"1144","muns","MeanCoverageMM",0.055
"1145","muns","MeanCoverageMM",0.095
"1146","muns","MeanCoverageMM",0.087
"1147","muns","MeanCoverageMM",0.074
"1148","muns","MeanCoverageMM",0.059
"1149","muns","MeanCoverageMM",0.059
"1150","muns","MeanCoverageMM",0.055
"1151","muns","MeanCoverageMM",0.258
"1152","muns","MeanCoverageMM",0.069
"1153","muns","MeanCoverageMM",0.13
"1154","muns","MeanCoverageMM",0.075
"1155","muns","MeanCoverageMM",0.278
"1156","muns","MeanCoverageMM",0.002
"1157","muns","MeanCoverageMM",0.065
"1158","muns","MeanCoverageMM",0.003
"1159","muns","MeanCoverageMM",0.062
"1160","muns","MeanCoverageMM",0.255
"1161","muns","MeanCoverageMM",0.078
"1162","muns","MeanCoverageMM",0.117
"1163","muns","MeanCoverageMM",0.105
"1164","muns","MeanCoverageMM",0.23
"1165","muns","MeanCoverageMM",0.08
"1166","muns","MeanCoverageMM",0.137
"1167","muns","MeanCoverageMM",0.073
"1168","muns","MeanCoverageMM",0.089
"1169","muns","MeanCoverageMM",0.019
"1170","muns","MeanCoverageMM",0.068
"1171","muns","MeanCoverageMM",0.06
"1172","muns","MeanCoverageMM",0.034
"1173","muns","MeanCoverageMM",0.087
"1174","muns","MeanCoverageMM",0
"1175","muns","MeanCoverageMM",0.06
"1176","muns","MeanCoverageMM",0.011
"1177","muns","MeanCoverageMM",0.088
"1178","muns","MeanCoverageMM",0.066
"1179","muns","MeanCoverageMM",0.062
"1180","muns","MeanCoverageMM",0.019
"1181","muns","MeanCoverageMM",0.048
"1182","muns","MeanCoverageMM",0.046
"1183","muns","MeanCoverageMM",0.097
"1184","muns","MeanCoverageMM",0.062
"1185","muns","MeanCoverageMM",0.037
"1186","muns","MeanCoverageMM",0.102
"1187","muns","MeanCoverageMM",0.124
"1188","muns","MeanCoverageMM",0.1
"1189","muns","MeanCoverageMM",0.101
"1190","muns","MeanCoverageMM",0.296
"1191","necferm","MeanCoverageMM",0.127
"1192","necferm","MeanCoverageMM",0.135
"1193","necferm","MeanCoverageMM",0.127
"1194","necferm","MeanCoverageMM",0.1
"1195","necferm","MeanCoverageMM",0
"1196","necferm","MeanCoverageMM",0.089
"1197","necferm","MeanCoverageMM",0.222
"1198","necferm","MeanCoverageMM",0.126
"1199","necferm","MeanCoverageMM",0.084
"1200","necferm","MeanCoverageMM",0.045
"1201","necferm","MeanCoverageMM",0.085
"1202","necferm","MeanCoverageMM",0.105
"1203","necferm","MeanCoverageMM",0.053
"1204","necferm","MeanCoverageMM",0.113
"1205","necferm","MeanCoverageMM",0.135
"1206","necferm","MeanCoverageMM",0.139
"1207","necferm","MeanCoverageMM",0.096
"1208","necferm","MeanCoverageMM",0.097
"1209","necferm","MeanCoverageMM",0.054
"1210","necferm","MeanCoverageMM",0.096
"1211","necferm","MeanCoverageMM",0.072
"1212","necferm","MeanCoverageMM",0.043
"1213","necferm","MeanCoverageMM",0.052
"1214","necferm","MeanCoverageMM",0.034
"1215","necferm","MeanCoverageMM",0.066
"1216","necferm","MeanCoverageMM",0.026
"1217","necferm","MeanCoverageMM",0.084
"1218","necferm","MeanCoverageMM",0.083
"1219","necferm","MeanCoverageMM",0.11
"1220","necferm","MeanCoverageMM",0.242
"1221","necferm","MeanCoverageMM",0.087
"1222","necferm","MeanCoverageMM",0.102
"1223","necferm","MeanCoverageMM",0.081
"1224","necferm","MeanCoverageMM",0.105
"1225","necferm","MeanCoverageMM",0.079
"1226","necferm","MeanCoverageMM",0.05
"1227","necferm","MeanCoverageMM",0
"1228","necferm","MeanCoverageMM",0.063
"1229","necferm","MeanCoverageMM",0.125
"1230","necferm","MeanCoverageMM",0.066
"1231","necferm","MeanCoverageMM",0.02
"1232","necferm","MeanCoverageMM",0.121
"1233","necferm","MeanCoverageMM",0.096
"1234","necferm","MeanCoverageMM",0
"1235","necferm","MeanCoverageMM",0.088
"1236","necferm","MeanCoverageMM",0.138
"1237","necferm","MeanCoverageMM",0.225
"1238","necferm","MeanCoverageMM",0.126
"1239","necferm","MeanCoverageMM",0.121
"1240","necferm","MeanCoverageMM",0.305
"1241","necferm","MeanCoverageMM",0.035
"1242","necferm","MeanCoverageMM",0.138
"1243","necferm","MeanCoverageMM",0
"1244","necferm","MeanCoverageMM",0.108
"1245","necferm","MeanCoverageMM",0.083
"1246","necferm","MeanCoverageMM",0.16
"1247","necferm","MeanCoverageMM",0.07
"1248","necferm","MeanCoverageMM",0.083
"1249","necferm","MeanCoverageMM",0.082
"1250","necferm","MeanCoverageMM",0.037
"1251","necferm","MeanCoverageMM",0.266
"1252","necferm","MeanCoverageMM",0.073
"1253","necferm","MeanCoverageMM",0.075
"1254","necferm","MeanCoverageMM",0.115
"1255","necferm","MeanCoverageMM",0.147
"1256","necferm","MeanCoverageMM",0.039
"1257","necferm","MeanCoverageMM",0.102
"1258","necferm","MeanCoverageMM",0.027
"1259","necferm","MeanCoverageMM",0.039
"1260","necferm","MeanCoverageMM",0.011
"1261","necferm","MeanCoverageMM",0.077
"1262","necferm","MeanCoverageMM",0.187
"1263","necferm","MeanCoverageMM",0.112
"1264","necferm","MeanCoverageMM",0.148
"1265","necferm","MeanCoverageMM",0.086
"1266","necferm","MeanCoverageMM",0.094
"1267","necferm","MeanCoverageMM",0.133
"1268","necferm","MeanCoverageMM",0.071
"1269","necferm","MeanCoverageMM",0.045
"1270","necferm","MeanCoverageMM",0.099
"1271","necferm","MeanCoverageMM",0.136
"1272","necferm","MeanCoverageMM",0.078
"1273","necferm","MeanCoverageMM",0.143
"1274","necferm","MeanCoverageMM",0.029
"1275","necferm","MeanCoverageMM",0.131
"1276","necferm","MeanCoverageMM",0.022
"1277","necferm","MeanCoverageMM",0.112
"1278","necferm","MeanCoverageMM",0.127
"1279","necferm","MeanCoverageMM",0.068
"1280","necferm","MeanCoverageMM",0.055
"1281","necferm","MeanCoverageMM",0.122
"1282","necferm","MeanCoverageMM",0.057
"1283","necferm","MeanCoverageMM",0.144
"1284","necferm","MeanCoverageMM",0.114
"1285","necferm","MeanCoverageMM",0.119
"1286","necferm","MeanCoverageMM",0.076
"1287","necferm","MeanCoverageMM",0.12
"1288","necferm","MeanCoverageMM",0.109
"1289","necferm","MeanCoverageMM",0.081
"1290","necferm","MeanCoverageMM",0.046
"1291","neclait","MeanCoverageMM",0.678
"1292","neclait","MeanCoverageMM",0.84
"1293","neclait","MeanCoverageMM",0.439
"1294","neclait","MeanCoverageMM",0.819
"1295","neclait","MeanCoverageMM",0
"1296","neclait","MeanCoverageMM",0.497
"1297","neclait","MeanCoverageMM",0.819
"1298","neclait","MeanCoverageMM",0.761
"1299","neclait","MeanCoverageMM",0.64
"1300","neclait","MeanCoverageMM",0.547
"1301","neclait","MeanCoverageMM",0.718
"1302","neclait","MeanCoverageMM",0.385
"1303","neclait","MeanCoverageMM",0.557
"1304","neclait","MeanCoverageMM",0.776
"1305","neclait","MeanCoverageMM",0.819
"1306","neclait","MeanCoverageMM",0.862
"1307","neclait","MeanCoverageMM",0.734
"1308","neclait","MeanCoverageMM",0.713
"1309","neclait","MeanCoverageMM",0.576
"1310","neclait","MeanCoverageMM",0.728
"1311","neclait","MeanCoverageMM",0.668
"1312","neclait","MeanCoverageMM",0.639
"1313","neclait","MeanCoverageMM",0.633
"1314","neclait","MeanCoverageMM",0.264
"1315","neclait","MeanCoverageMM",0.434
"1316","neclait","MeanCoverageMM",0.34
"1317","neclait","MeanCoverageMM",0.338
"1318","neclait","MeanCoverageMM",0.66
"1319","neclait","MeanCoverageMM",0.7
"1320","neclait","MeanCoverageMM",0.727
"1321","neclait","MeanCoverageMM",0.762
"1322","neclait","MeanCoverageMM",0.667
"1323","neclait","MeanCoverageMM",0.782
"1324","neclait","MeanCoverageMM",0.858
"1325","neclait","MeanCoverageMM",0.648
"1326","neclait","MeanCoverageMM",0.589
"1327","neclait","MeanCoverageMM",0.01
"1328","neclait","MeanCoverageMM",0.714
"1329","neclait","MeanCoverageMM",0.44
"1330","neclait","MeanCoverageMM",0.183
"1331","neclait","MeanCoverageMM",0.617
"1332","neclait","MeanCoverageMM",0.742
"1333","neclait","MeanCoverageMM",0.686
"1334","neclait","MeanCoverageMM",0.144
"1335","neclait","MeanCoverageMM",0.682
"1336","neclait","MeanCoverageMM",0.814
"1337","neclait","MeanCoverageMM",0.969
"1338","neclait","MeanCoverageMM",0.72
"1339","neclait","MeanCoverageMM",0.761
"1340","neclait","MeanCoverageMM",0.563
"1341","neclait","MeanCoverageMM",0.592
"1342","neclait","MeanCoverageMM",0.784
"1343","neclait","MeanCoverageMM",0.038
"1344","neclait","MeanCoverageMM",0.797
"1345","neclait","MeanCoverageMM",0.356
"1346","neclait","MeanCoverageMM",0.833
"1347","neclait","MeanCoverageMM",0.725
"1348","neclait","MeanCoverageMM",0.588
"1349","neclait","MeanCoverageMM",0.55
"1350","neclait","MeanCoverageMM",0.557
"1351","neclait","MeanCoverageMM",0.814
"1352","neclait","MeanCoverageMM",0.466
"1353","neclait","MeanCoverageMM",0.462
"1354","neclait","MeanCoverageMM",0.742
"1355","neclait","MeanCoverageMM",0.793
"1356","neclait","MeanCoverageMM",0.219
"1357","neclait","MeanCoverageMM",0.783
"1358","neclait","MeanCoverageMM",0.178
"1359","neclait","MeanCoverageMM",0.627
"1360","neclait","MeanCoverageMM",0.356
"1361","neclait","MeanCoverageMM",0.556
"1362","neclait","MeanCoverageMM",0.854
"1363","neclait","MeanCoverageMM",0.734
"1364","neclait","MeanCoverageMM",0.82
"1365","neclait","MeanCoverageMM",0.731
"1366","neclait","MeanCoverageMM",0.554
"1367","neclait","MeanCoverageMM",0.793
"1368","neclait","MeanCoverageMM",0
"1369","neclait","MeanCoverageMM",0.599
"1370","neclait","MeanCoverageMM",0.57
"1371","neclait","MeanCoverageMM",0.73
"1372","neclait","MeanCoverageMM",0.854
"1373","neclait","MeanCoverageMM",0.611
"1374","neclait","MeanCoverageMM",0.832
"1375","neclait","MeanCoverageMM",0.212
"1376","neclait","MeanCoverageMM",0.754
"1377","neclait","MeanCoverageMM",0.319
"1378","neclait","MeanCoverageMM",0.763
"1379","neclait","MeanCoverageMM",0.813
"1380","neclait","MeanCoverageMM",0.515
"1381","neclait","MeanCoverageMM",0.51
"1382","neclait","MeanCoverageMM",0.769
"1383","neclait","MeanCoverageMM",0.648
"1384","neclait","MeanCoverageMM",0.668
"1385","neclait","MeanCoverageMM",0.561
"1386","neclait","MeanCoverageMM",0.705
"1387","neclait","MeanCoverageMM",0.514
"1388","neclait","MeanCoverageMM",0.759
"1389","neclait","MeanCoverageMM",0.773
"1390","neclait","MeanCoverageMM",0.663
"1391","neclait","MeanCoverageMM",0.529
"1392","roque","MeanCoverageMM",0.087
"1393","roque","MeanCoverageMM",0.162
"1394","roque","MeanCoverageMM",0.078
"1395","roque","MeanCoverageMM",0.134
"1396","roque","MeanCoverageMM",0
"1397","roque","MeanCoverageMM",0.119
"1398","roque","MeanCoverageMM",0.408
"1399","roque","MeanCoverageMM",0.128
"1400","roque","MeanCoverageMM",0.094
"1401","roque","MeanCoverageMM",0.041
"1402","roque","MeanCoverageMM",0.106
"1403","roque","MeanCoverageMM",0.129
"1404","roque","MeanCoverageMM",0.108
"1405","roque","MeanCoverageMM",0.124
"1406","roque","MeanCoverageMM",0.144
"1407","roque","MeanCoverageMM",0.159
"1408","roque","MeanCoverageMM",0.065
"1409","roque","MeanCoverageMM",0.106
"1410","roque","MeanCoverageMM",0.067
"1411","roque","MeanCoverageMM",0.123
"1412","roque","MeanCoverageMM",0.053
"1413","roque","MeanCoverageMM",0.049
"1414","roque","MeanCoverageMM",0.057
"1415","roque","MeanCoverageMM",0.025
"1416","roque","MeanCoverageMM",0.058
"1417","roque","MeanCoverageMM",0.028
"1418","roque","MeanCoverageMM",0.059
"1419","roque","MeanCoverageMM",0.078
"1420","roque","MeanCoverageMM",0.077
"1421","roque","MeanCoverageMM",0.206
"1422","roque","MeanCoverageMM",0.091
"1423","roque","MeanCoverageMM",0.101
"1424","roque","MeanCoverageMM",0.072
"1425","roque","MeanCoverageMM",0.121
"1426","roque","MeanCoverageMM",0.077
"1427","roque","MeanCoverageMM",0.052
"1428","roque","MeanCoverageMM",0
"1429","roque","MeanCoverageMM",0.092
"1430","roque","MeanCoverageMM",0.094
"1431","roque","MeanCoverageMM",0.052
"1432","roque","MeanCoverageMM",0.069
"1433","roque","MeanCoverageMM",0.124
"1434","roque","MeanCoverageMM",0.105
"1435","roque","MeanCoverageMM",0.017
"1436","roque","MeanCoverageMM",0.061
"1437","roque","MeanCoverageMM",0.149
"1438","roque","MeanCoverageMM",0.377
"1439","roque","MeanCoverageMM",0.111
"1440","roque","MeanCoverageMM",0.122
"1441","roque","MeanCoverageMM",0.203
"1442","roque","MeanCoverageMM",0.127
"1443","roque","MeanCoverageMM",0.106
"1444","roque","MeanCoverageMM",0.008
"1445","roque","MeanCoverageMM",0.131
"1446","roque","MeanCoverageMM",0.107
"1447","roque","MeanCoverageMM",0.125
"1448","roque","MeanCoverageMM",0.107
"1449","roque","MeanCoverageMM",0.083
"1450","roque","MeanCoverageMM",0.089
"1451","roque","MeanCoverageMM",0.03
"1452","roque","MeanCoverageMM",0.051
"1453","roque","MeanCoverageMM",0.077
"1454","roque","MeanCoverageMM",0.062
"1455","roque","MeanCoverageMM",0.121
"1456","roque","MeanCoverageMM",0.132
"1457","roque","MeanCoverageMM",0.024
"1458","roque","MeanCoverageMM",0.107
"1459","roque","MeanCoverageMM",0.019
"1460","roque","MeanCoverageMM",0.05
"1461","roque","MeanCoverageMM",0.055
"1462","roque","MeanCoverageMM",0.076
"1463","roque","MeanCoverageMM",0.184
"1464","roque","MeanCoverageMM",0.123
"1465","roque","MeanCoverageMM",0.152
"1466","roque","MeanCoverageMM",0.075
"1467","roque","MeanCoverageMM",0.04
"1468","roque","MeanCoverageMM",0.138
"1469","roque","MeanCoverageMM",0
"1470","roque","MeanCoverageMM",0.086
"1471","roque","MeanCoverageMM",0.042
"1472","roque","MeanCoverageMM",0.12
"1473","roque","MeanCoverageMM",0.152
"1474","roque","MeanCoverageMM",0.077
"1475","roque","MeanCoverageMM",0.14
"1476","roque","MeanCoverageMM",0
"1477","roque","MeanCoverageMM",0.13
"1478","roque","MeanCoverageMM",0.041
"1479","roque","MeanCoverageMM",0.112
"1480","roque","MeanCoverageMM",0.11
"1481","roque","MeanCoverageMM",0.08
"1482","roque","MeanCoverageMM",0.042
"1483","roque","MeanCoverageMM",0.11
"1484","roque","MeanCoverageMM",0.109
"1485","roque","MeanCoverageMM",0.114
"1486","roque","MeanCoverageMM",0.084
"1487","roque","MeanCoverageMM",0.108
"1488","roque","MeanCoverageMM",0.059
"1489","roque","MeanCoverageMM",0.107
"1490","roque","MeanCoverageMM",0.102
"1491","roque","MeanCoverageMM",0.077
"1492","roque","MeanCoverageMM",0.075
"1493","salers","MeanCoverageMM",0.148
"1494","salers","MeanCoverageMM",0.16
"1495","salers","MeanCoverageMM",0.115
"1496","salers","MeanCoverageMM",0.194
"1497","salers","MeanCoverageMM",0
"1498","salers","MeanCoverageMM",0.102
"1499","salers","MeanCoverageMM",0.356
"1500","salers","MeanCoverageMM",0.126
"1501","salers","MeanCoverageMM",0.109
"1502","salers","MeanCoverageMM",0.026
"1503","salers","MeanCoverageMM",0.112
"1504","salers","MeanCoverageMM",0.1
"1505","salers","MeanCoverageMM",0.123
"1506","salers","MeanCoverageMM",0.128
"1507","salers","MeanCoverageMM",0.144
"1508","salers","MeanCoverageMM",0.148
"1509","salers","MeanCoverageMM",0.074
"1510","salers","MeanCoverageMM",0.115
"1511","salers","MeanCoverageMM",0.06
"1512","salers","MeanCoverageMM",0.105
"1513","salers","MeanCoverageMM",0.06
"1514","salers","MeanCoverageMM",0.055
"1515","salers","MeanCoverageMM",0.052
"1516","salers","MeanCoverageMM",0.032
"1517","salers","MeanCoverageMM",0.067
"1518","salers","MeanCoverageMM",0.014
"1519","salers","MeanCoverageMM",0.047
"1520","salers","MeanCoverageMM",0.091
"1521","salers","MeanCoverageMM",0.068
"1522","salers","MeanCoverageMM",0.242
"1523","salers","MeanCoverageMM",0.1
"1524","salers","MeanCoverageMM",0.108
"1525","salers","MeanCoverageMM",0.068
"1526","salers","MeanCoverageMM",0.143
"1527","salers","MeanCoverageMM",0.073
"1528","salers","MeanCoverageMM",0.064
"1529","salers","MeanCoverageMM",0
"1530","salers","MeanCoverageMM",0.083
"1531","salers","MeanCoverageMM",0.117
"1532","salers","MeanCoverageMM",0.066
"1533","salers","MeanCoverageMM",0.02
"1534","salers","MeanCoverageMM",0.151
"1535","salers","MeanCoverageMM",0.12
"1536","salers","MeanCoverageMM",0
"1537","salers","MeanCoverageMM",0.12
"1538","salers","MeanCoverageMM",0.149
"1539","salers","MeanCoverageMM",0.405
"1540","salers","MeanCoverageMM",0.121
"1541","salers","MeanCoverageMM",0.128
"1542","salers","MeanCoverageMM",0.154
"1543","salers","MeanCoverageMM",0.044
"1544","salers","MeanCoverageMM",0.133
"1545","salers","MeanCoverageMM",0.126
"1546","salers","MeanCoverageMM",0.077
"1547","salers","MeanCoverageMM",0.137
"1548","salers","MeanCoverageMM",0.069
"1549","salers","MeanCoverageMM",0.089
"1550","salers","MeanCoverageMM",0.083
"1551","salers","MeanCoverageMM",0.044
"1552","salers","MeanCoverageMM",0.103
"1553","salers","MeanCoverageMM",0.075
"1554","salers","MeanCoverageMM",0.081
"1555","salers","MeanCoverageMM",0.13
"1556","salers","MeanCoverageMM",0.143
"1557","salers","MeanCoverageMM",0.02
"1558","salers","MeanCoverageMM",0.134
"1559","salers","MeanCoverageMM",0.012
"1560","salers","MeanCoverageMM",0.034
"1561","salers","MeanCoverageMM",0.022
"1562","salers","MeanCoverageMM",0.12
"1563","salers","MeanCoverageMM",0.148
"1564","salers","MeanCoverageMM",0.113
"1565","salers","MeanCoverageMM",0.16
"1566","salers","MeanCoverageMM",0.092
"1567","salers","MeanCoverageMM",0.079
"1568","salers","MeanCoverageMM",0.125
"1569","salers","MeanCoverageMM",0.06
"1570","salers","MeanCoverageMM",0.062
"1571","salers","MeanCoverageMM",0.139
"1572","salers","MeanCoverageMM",0.147
"1573","salers","MeanCoverageMM",0.074
"1574","salers","MeanCoverageMM",0.146
"1575","salers","MeanCoverageMM",0
"1576","salers","MeanCoverageMM",0.133
"1577","salers","MeanCoverageMM",0.047
"1578","salers","MeanCoverageMM",0.123
"1579","salers","MeanCoverageMM",0.141
"1580","salers","MeanCoverageMM",0.07
"1581","salers","MeanCoverageMM",0.063
"1582","salers","MeanCoverageMM",0.119
"1583","salers","MeanCoverageMM",0.048
"1584","salers","MeanCoverageMM",0.127
"1585","salers","MeanCoverageMM",0.086
"1586","salers","MeanCoverageMM",0.11
"1587","salers","MeanCoverageMM",0.037
"1588","salers","MeanCoverageMM",0.108
"1589","salers","MeanCoverageMM",0.108
"1590","salers","MeanCoverageMM",0.083
"1591","salers","MeanCoverageMM",0.041
"1592","tome","MeanCoverageMM",0.191
"1593","tome","MeanCoverageMM",0.203
"1594","tome","MeanCoverageMM",0.156
"1595","tome","MeanCoverageMM",0.297
"1596","tome","MeanCoverageMM",0
"1597","tome","MeanCoverageMM",0.085
"1598","tome","MeanCoverageMM",0.303
"1599","tome","MeanCoverageMM",0.19
"1600","tome","MeanCoverageMM",0.144
"1601","tome","MeanCoverageMM",0.074
"1602","tome","MeanCoverageMM",0.158
"1603","tome","MeanCoverageMM",0.09
"1604","tome","MeanCoverageMM",0.138
"1605","tome","MeanCoverageMM",0.204
"1606","tome","MeanCoverageMM",0.192
"1607","tome","MeanCoverageMM",0.239
"1608","tome","MeanCoverageMM",0.126
"1609","tome","MeanCoverageMM",0.163
"1610","tome","MeanCoverageMM",0.096
"1611","tome","MeanCoverageMM",0.153
"1612","tome","MeanCoverageMM",0.104
"1613","tome","MeanCoverageMM",0.11
"1614","tome","MeanCoverageMM",0.088
"1615","tome","MeanCoverageMM",0.054
"1616","tome","MeanCoverageMM",0.088
"1617","tome","MeanCoverageMM",0.062
"1618","tome","MeanCoverageMM",0.066
"1619","tome","MeanCoverageMM",0.123
"1620","tome","MeanCoverageMM",0.083
"1621","tome","MeanCoverageMM",0.332
"1622","tome","MeanCoverageMM",0.137
"1623","tome","MeanCoverageMM",0.139
"1624","tome","MeanCoverageMM",0.133
"1625","tome","MeanCoverageMM",0.159
"1626","tome","MeanCoverageMM",0.126
"1627","tome","MeanCoverageMM",0.103
"1628","tome","MeanCoverageMM",0
"1629","tome","MeanCoverageMM",0.139
"1630","tome","MeanCoverageMM",0.101
"1631","tome","MeanCoverageMM",0.075
"1632","tome","MeanCoverageMM",0.114
"1633","tome","MeanCoverageMM",0.169
"1634","tome","MeanCoverageMM",0.147
"1635","tome","MeanCoverageMM",0.024
"1636","tome","MeanCoverageMM",0.172
"1637","tome","MeanCoverageMM",0.211
"1638","tome","MeanCoverageMM",0.333
"1639","tome","MeanCoverageMM",0.19
"1640","tome","MeanCoverageMM",0.204
"1641","tome","MeanCoverageMM",0.305
"1642","tome","MeanCoverageMM",0.021
"1643","tome","MeanCoverageMM",0.26
"1644","tome","MeanCoverageMM",0.19
"1645","tome","MeanCoverageMM",0.1
"1646","tome","MeanCoverageMM",0.23
"1647","tome","MeanCoverageMM",0.158
"1648","tome","MeanCoverageMM",0.13
"1649","tome","MeanCoverageMM",0.122
"1650","tome","MeanCoverageMM",0.078
"1651","tome","MeanCoverageMM",0.162
"1652","tome","MeanCoverageMM",0.128
"1653","tome","MeanCoverageMM",0.083
"1654","tome","MeanCoverageMM",0.179
"1655","tome","MeanCoverageMM",0.202
"1656","tome","MeanCoverageMM",0.037
